title,author,language,genre,description
The Alchemist,Paulo Coelho,English,Motivation,A shepherd searches for treasure and discovers his destiny.
Atomic Habits,James Clear,English,Self Help,Guide to building good habits and breaking bad ones.
Harry Potter and the Sorcerer's Stone,J.K. Rowling,English,Fantasy,A young wizard begins his magical journey.
Harry Potter and the Chamber of Secrets,J.K. Rowling,English,Fantasy,Second year at Hogwarts.
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,English,Fantasy,Sirius Black escapes prison.
The Hobbit,J.R.R. Tolkien,English,Fantasy,A hobbit travels with dwarves on an adventure.
The Lord of the Rings,J.R.R. Tolkien,English,Fantasy,Quest to destroy the One Ring.
Sherlock Holmes,Arthur Conan Doyle,English,Mystery,A detective solving mysterious crimes.
The Da Vinci Code,Dan Brown,English,Mystery,A thriller involving secret societies.
Angels and Demons,Dan Brown,English,Mystery,A conspiracy involving the Vatican.
Pride and Prejudice,Jane Austen,English,Love,A romantic novel about Elizabeth Bennet.
Me Before You,Jojo Moyes,English,Love,A touching romantic story.
Romeo and Juliet,William Shakespeare,English,Love,Classic tragic love story.
War and Peace,Leo Tolstoy,English,War,A story set during Napoleonic wars.
The Art of War,Sun Tzu,English,War,Ancient military strategy text.
Think and Grow Rich,Napoleon Hill,English,Motivation,Philosophy of success and wealth.
Rich Dad Poor Dad,Robert Kiyosaki,English,Finance,Financial education for success.
Deep Work,Cal Newport,English,Productivity,Focus in a distracted world.
Clean Code,Robert C. Martin,English,Technology,Guide to writing clean software code.
Deep Learning,Ian Goodfellow,English,Technology,Introduction to neural networks.
Percy Jackson,Rick Riordan,English,Fantasy,Adventure inspired by Greek mythology.
The Hunger Games,Suzanne Collins,English,Adventure,A survival competition story.
The Fault in Our Stars,John Green,English,Love,Emotional romantic story.
The Kite Runner,Khaled Hosseini,English,Drama,Story of friendship and redemption.
Sapiens,Yuval Noah Harari,English,History,History of humankind.
1984,George Orwell,English,Dystopian,A totalitarian surveillance society.
Animal Farm,George Orwell,English,Political,A satire on political power.
The Great Gatsby,F. Scott Fitzgerald,English,Drama,A story of wealth and obsession.
The Power of Now,Eckhart Tolle,English,Spiritual,Living in the present moment.
Ikigai,Hector Garcia,English,Self Help,Finding purpose in life.
To Kill a Mockingbird,Harper Lee,English,Drama,A novel about justice and racism.
Moby Dick,Herman Melville,English,Adventure,A sea captain obsessed with a whale.
The Catcher in the Rye,J.D. Salinger,English,Drama,A teenager dealing with life struggles.
Frankenstein,Mary Shelley,English,Horror,A scientist creates a monster.
Dracula,Bram Stoker,English,Horror,A vampire haunting Europe.
The Shining,Stephen King,English,Horror,A haunted hotel story.
It,Stephen King,English,Horror,A group of kids face a terrifying clown.
The Stand,Stephen King,English,Thriller,A deadly pandemic spreads across the world.
Gone Girl,Gillian Flynn,English,Thriller,A mysterious disappearance.
The Girl with the Dragon Tattoo,Stieg Larsson,English,Thriller,A hacker investigates crimes.
The Silent Patient,Alex Michaelides,English,Mystery,A woman refuses to speak after a murder.
Big Little Lies,Liane Moriarty,English,Drama,Secrets among wealthy families.
The Martian,Andy Weir,English,Science Fiction,A stranded astronaut survives on Mars.
Dune,Frank Herbert,English,Science Fiction,A desert planet full of political conflict.
Foundation,Isaac Asimov,English,Science Fiction,Future galactic empire struggles.
Neuromancer,William Gibson,English,Science Fiction,A hacker in cyberspace.
Ready Player One,Ernest Cline,English,Science Fiction,A virtual reality treasure hunt.
The Road,Cormac McCarthy,English,Dystopian,A father and son in a ruined world.
Brave New World,Aldous Huxley,English,Dystopian,A futuristic controlled society.
Fahrenheit 451,Ray Bradbury,English,Dystopian,A world where books are banned.
The Notebook,Nicholas Sparks,English,Love,A lifelong love story.
Dear John,Nicholas Sparks,English,Love,A soldier and a love story.
Safe Haven,Nicholas Sparks,English,Love,A romance with secrets.
The Wedding,Nicholas Sparks,English,Love,A story about rekindling love.
A Walk to Remember,Nicholas Sparks,English,Love,A touching romantic tale.
The Time Traveler's Wife,Audrey Niffenegger,English,Love,A love story across time.
Love Story,Erich Segal,English,Love,A tragic romantic tale.
The Secret,Rhonda Byrne,English,Self Help,Law of attraction philosophy.
Start With Why,Simon Sinek,English,Leadership,Leadership and purpose.
Leaders Eat Last,Simon Sinek,English,Leadership,Building strong teams.
Zero to One,Peter Thiel,English,Business,Building innovative startups.
The Lean Startup,Eric Ries,English,Business,Startup development methods.
Good to Great,Jim Collins,English,Business,How companies succeed.
The 4 Hour Work Week,Timothy Ferriss,English,Productivity,Designing a flexible life.
The Subtle Art of Not Giving a F*ck,Mark Manson,English,Self Help,A counterintuitive approach to life.
Can't Hurt Me,David Goggins,English,Motivation,A story of mental toughness.
Grit,Angela Duckworth,English,Motivation,The power of perseverance.
Mindset,Carol Dweck,English,Self Help,Importance of growth mindset.
Outliers,Malcolm Gladwell,English,Psychology,Secrets of success.
Blink,Malcolm Gladwell,English,Psychology,Power of thinking without thinking.
